METERHEAD,R_MF_9A_6P,R_MF_6P_10,R_SA_9A_6P,R_SA_6P_10,R_SU_9A_6P,R_SU_6P_10,RATE_MISC,TIMEINEFFE,T_MF_9A_6P,T_MF_6P_10,T_SA_9A_6P,T_SA_6P_10,T_SU_9A_6P,T_SU_6P_10,TIME_MISC,CREDITCARD,PAY_PHONE,Geom,Geo Local Area,METERID,geo_point_2d
Pay Station,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,Yes,66613,"{""coordinates"": [-123.10751302737197, 49.280623982029404], ""type"": ""Point""}",Downtown,540510,"49.280623982029404, -123.10751302737197"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,13 Hrs,Yes,57911,"{""coordinates"": [-123.10954614441272, 49.264414526186485], ""type"": ""Point""}",Mount Pleasant,522307,"49.264414526186485, -123.10954614441272"
Pay Station,$2.00,$3.00,$2.00,$3.00,$2.00,$3.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,66624,"{""coordinates"": [-123.1037377341054, 49.28341141334147], ""type"": ""Point""}",Downtown,010002,"49.28341141334147, -123.1037377341054"
Pay Station,$2.00,$3.00,$2.00,$3.00,$2.00,$3.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,66624,"{""coordinates"": [-123.10265533704396, 49.28361629160919], ""type"": ""Point""}",Downtown,010040,"49.28361629160919, -123.10265533704396"
Single / Disability,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,No,67408,"{""coordinates"": [-123.1400673040104, 49.286038834472784], ""type"": ""Point""}",West End,161640,"49.286038834472784, -123.1400673040104"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,Yes,50086,"{""coordinates"": [-123.10931197677147, 49.265312028575686], ""type"": ""Point""}",Mount Pleasant,522208,"49.265312028575686, -123.10931197677147"
Twin,$6.00,$1.00,$6.00,$1.00,$6.00,$1.00,$2.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,No,57138,"{""coordinates"": [-123.15331413560989, 49.268228746216], ""type"": ""Point""}",Kitsilano,B42107,"49.268228746216, -123.15331413560989"
Twin,$6.00,$1.00,$6.00,$1.00,$6.00,$1.00,$2.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,No,57121,"{""coordinates"": [-123.15346257707436, 49.26822854915425], ""type"": ""Point""}",Kitsilano,B42109,"49.26822854915425, -123.15346257707436"
Single,$4.00,$2.00,$4.00,$2.00,$4.00,$2.00,$2.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,No,57122,"{""coordinates"": [-123.15730790399805, 49.268117693254275], ""type"": ""Point""}",Kitsilano,B42244,"49.268117693254275, -123.15730790399805"
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,No,57118,"{""coordinates"": [-123.15792984021728, 49.26829979824183], ""type"": ""Point""}",Kitsilano,B42305,"49.26829979824183, -123.15792984021728"
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,No,57136,"{""coordinates"": [-123.15792984021728, 49.26829979824183], ""type"": ""Point""}",Kitsilano,B42307,"49.26829979824183, -123.15792984021728"
